тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;acer;Iconia;Talk S A1-724 16Gb ;;acer Iconia Talk S A1-724 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Iconia;Talk S A1-734 16Gb ;;acer Iconia Talk S A1-734 16Gb ;;;;;;;;;;;;;;;
планшет;acer;Switch;V 10 4Gb 64Gb ;;acer Switch V 10 4Gb 64Gb ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;v3 571g 33124g50ma ;;acer aspire v3 571g 33124g50ma ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;v3 571g 53218g75maii ;;acer aspire v3 571g 53218g75maii ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;v3 572g 38yd ;;acer aspire v3 572g 38yd ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;v3 572g 52fh ;;acer aspire v3 572g 52fh ;;;;;;;;;;;;;;;
ноутбук;acer;aspire;v5 552g 10578g50akk ;;acer aspire v5 552g 10578g50akk ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;Z530 16GB ;;Acer Liquid Z530 16GB ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;Z6 ;;Acer Liquid Z6 ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;Z6 Plus ;;Acer Liquid Z6 Plus ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;Zest 4G ;1;Acer Liquid Zest 4G ;;;;;;;;;;;;;;;
телефон;Acer;Liquid;Zest 4G 16GB ;;Acer Liquid Zest 4G 16GB ;;;;;;;;;;;;;;;
планшет;Acer;Aspire;One 10 Z3735F 32Gb ;;Acer  Aspire One 10 Z3735F 32Gb ;;;;;;;;;;;;;;;
планшет;Acer;Switch;One 10 Z8300 532Gb ;;Acer  Switch One 10 Z8300 532Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;One B1-730 8Gb ;;Acer  Iconia One B1-730 8Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;One B1-730HD 16Gb ;;Acer  Iconia One B1-730HD 16Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;One B1-810 8Gb ;;Acer  Iconia One B1-810 8Gb ;;;;;;;;;;;;;;;
планшет;Acer;Aspire;P3-171 60Gb ;;Acer  Aspire P3-171 60Gb ;;;;;;;;;;;;;;;
планшет;Acer;Aspire;P3-171 i5 120Gb ;;Acer  Aspire P3-171 i5 120Gb ;;;;;;;;;;;;;;;
планшет;Acer;Aspire;Switch 10 E z8300 64Gb ;;Acer  Aspire Switch 10 E z8300 64Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab A101 8Gb ;;Acer  Iconia Tab A101 8Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab A1-713 16Gb ;;Acer  Iconia Tab A1-713 16Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab A1-811 16Gb ;;Acer  Iconia Tab A1-811 16Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab A501 16Gb ;;Acer  Iconia Tab A501 16Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab A701 64Gb ;;Acer  Iconia Tab A701 64Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W1-810 32Gb ;;Acer  Iconia Tab W1-810 32Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W3-810 64Gb ;;Acer  Iconia Tab W3-810 64Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W4-820 32Gb ;;Acer  Iconia Tab W4-820 32Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W500 32Gb ;;Acer  Iconia Tab W500 32Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W501 32Gb ;;Acer  Iconia Tab W501 32Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W501 dock ;;Acer  Iconia Tab W501 dock ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W510 32Gb dock ;;Acer  Iconia Tab W510 32Gb dock ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W510 64Gb ;;Acer  Iconia Tab W510 64Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W511 32Gb ;;Acer  Iconia Tab W511 32Gb ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W511 32Gb dock ;;Acer  Iconia Tab W511 32Gb dock ;;;;;;;;;;;;;;;
планшет;Acer;Iconia;Tab W701 64Gb ;;Acer  Iconia Tab W701 64Gb ;;;;;;;;;;;;;;;
планшет;apple;iPad;128Gb Wi-Fi ;;apple iPad 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;128Gb Wi-Fi Cellular ;;apple iPad 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;16Gb Wi-Fi ;;apple iPad 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;16Gb Wi-Fi 3G ;;apple iPad 16Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
