тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
телефон;Huawei;Y5;2017;1;Huawei Y5 2017;;;;;;;;;;;;;;;
телефон;Huawei;Y7;2017;;Huawei Y7 2017;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 FHD 16Gb 3G ;;huawei MediaPad 10 FHD 16Gb 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 FHD 16Gb LTE ;;huawei MediaPad 10 FHD 16Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 FHD 32Gb LTE ;;huawei MediaPad 10 FHD 32Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 FHD 8Gb 3G ;;huawei MediaPad 10 FHD 8Gb 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 FHD 8Gb Wi-Fi ;;huawei MediaPad 10 FHD 8Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link 16Gb 3G ;;huawei MediaPad 10 Link 16Gb 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link 16Gb LTE ;;huawei MediaPad 10 Link 16Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link 16Gb Wi-Fi ;;huawei MediaPad 10 Link 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link 3G ;;huawei MediaPad 10 Link 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link 8Gb 3G ;;huawei MediaPad 10 Link 8Gb 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link LTE ;;huawei MediaPad 10 Link LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;10 Link WiFi ;;huawei MediaPad 10 Link WiFi ;;;;;;;;;;;;;;;
телефон;Huawei;Mate;10 Lite ;1;Huawei Mate 10 Lite ;;;;;;;;;;;;;;;
телефон;Huawei;Mate;10 Pro ;1;Huawei Mate 10 Pro ;;;;;;;;;;;;;;;
планшет;huawei;Matebook;128Gb ;;huawei Matebook 128Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Nova;2 Plus ;;Huawei Nova 2 Plus ;;;;;;;;;;;;;;;
телефон;Huawei;Y3;2017 LTE ;;Huawei Y3 2017 LTE ;;;;;;;;;;;;;;;
планшет;huawei;Matebook;256Gb ;;huawei Matebook 256Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Nova;2i ;1;Huawei Nova 2i ;;;;;;;;;;;;;;;
телефон;Huawei;P10;32Gb ;;Huawei P10 32Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;6 16Gb ;;Huawei Honor 6 16Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;6 Plus ;1;Huawei Honor 6 Plus ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;6 Plus 16Gb ;;Huawei Honor 6 Plus 16Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;6C ;1;Huawei Honor 6C ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;6C Pro ;1;Huawei Honor 6C Pro ;;;;;;;;;;;;;;;
телефон;Huawei;Nexus;6P 32Gb ;;Huawei Nexus 6P 32Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;6x ;1;Huawei Honor 6x ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;7 Lite 3G ;;huawei MediaPad 7 Lite 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;7 Lite Wi-Fi ;;huawei MediaPad 7 Lite Wi-Fi ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;7 Youth 8Gb ;;huawei MediaPad 7 Youth 8Gb ;;;;;;;;;;;;;;;
планшет;Huawei;MediaPad;7 Youth 8Gb 3G ;;Huawei MediaPad 7 Youth 8Gb 3G ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;8 32Gb ;;Huawei Honor 8 32Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Mate;8 32Gb ;;Huawei Mate 8 32Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;8 64Gb ;;Huawei Honor 8 64Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;8 Lite ;1;Huawei Honor 8 Lite ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;8 Pro ;1;Huawei Honor 8 Pro ;;;;;;;;;;;;;;;
телефон;Huawei;Mate;9 Dual ;;Huawei Mate 9 Dual ;;;;;;;;;;;;;;;
телефон;Huawei;Mate;9 Porsche Design ;;Huawei Mate 9 Porsche Design ;;;;;;;;;;;;;;;
телефон;Huawei;Mate;9 Pro ;1;Huawei Mate 9 Pro ;;;;;;;;;;;;;;;
телефон;Huawei;Y6;Dual ;;Huawei Y6 Dual ;;;;;;;;;;;;;;;
телефон;Huawei;Ascend;G610 ;;Huawei Ascend G610 ;;;;;;;;;;;;;;;
телефон;Huawei;Ascend;G750 ;;Huawei Ascend G750 ;;;;;;;;;;;;;;;
телефон;Huawei;U8950;Honor Pro ;;Huawei U8950 Honor Pro ;;;;;;;;;;;;;;;
телефон;Huawei;Y6;II ;1;Huawei Y6 II ;;;;;;;;;;;;;;;
телефон;Huawei;Ascend;II ;;Huawei Ascend II ;;;;;;;;;;;;;;;
телефон;Huawei;Y6;II Compact ;;Huawei Y6 II Compact ;;;;;;;;;;;;;;;
телефон;Huawei;Y3;II LTE ;;Huawei Y3 II LTE ;;;;;;;;;;;;;;;
телефон;Huawei;Y5;II LTE ;;Huawei Y5 II LTE ;;;;;;;;;;;;;;;
телефон;Huawei;P10;Lite ;1;Huawei P10 Lite ;;;;;;;;;;;;;;;
телефон;Huawei;Nova;Lite ;1;Huawei Nova Lite ;;;;;;;;;;;;;;;
телефон;Huawei;P8;Lite 2017 ;1;Huawei P8 Lite 2017 ;;;;;;;;;;;;;;;
телефон;Huawei;Nova;Lite 2017 ;1;Huawei Nova Lite 2017 ;;;;;;;;;;;;;;;
телефон;Huawei;P9;Lite 2017 ;;Huawei P9 Lite 2017 ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M1 8 0 3G ;;huawei MediaPad M1 8 0 3G ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M2 10 0 LTE 64Gb ;;huawei MediaPad M2 10 0 LTE 64Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 8 4 32Gb LTE ;;huawei MediaPad M3 8 4 32Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 8 4 64Gb LTE ;;huawei MediaPad M3 8 4 64Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 10 16Gb ;;huawei MediaPad M3 Lite 10 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 10 16Gb LTE ;;huawei MediaPad M3 Lite 10 16Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 10 32Gb ;;huawei MediaPad M3 Lite 10 32Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 10 32Gb LTE ;;huawei MediaPad M3 Lite 10 32Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 10 64Gb ;;huawei MediaPad M3 Lite 10 64Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 10 64Gb LTE ;;huawei MediaPad M3 Lite 10 64Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;M3 Lite 8 0 16Gb LTE ;;huawei MediaPad M3 Lite 8 0 16Gb LTE ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;Note 8 ;;Huawei Honor Note 8 ;;;;;;;;;;;;;;;
телефон;Huawei;Honor;P8 Lite 2017 ;;Huawei Honor P8 Lite 2017 ;;;;;;;;;;;;;;;
телефон;Huawei;P10;Plus ;1;Huawei P10 Plus ;;;;;;;;;;;;;;;
телефон;Huawei;Nova;Plus ;;Huawei Nova Plus ;;;;;;;;;;;;;;;
телефон;Huawei;Y7;Prime ;;Huawei Y7 Prime ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;T1 10 LTE 16Gb ;;huawei MediaPad T1 10 LTE 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;T1 10 LTE 8Gb ;;huawei MediaPad T1 10 LTE 8Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;T1 7 3G 16Gb ;;huawei MediaPad T1 7 3G 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;T1 7 3G 8Gb ;;huawei MediaPad T1 7 3G 8Gb ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T2 7 0 8Gb LTE ;;huawei Mediapad T2 7 0 8Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 10 16Gb ;;huawei Mediapad T3 10 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 10 16Gb LTE ;;huawei Mediapad T3 10 16Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 10 32Gb ;;huawei Mediapad T3 10 32Gb ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 10 32Gb LTE ;;huawei Mediapad T3 10 32Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 7 0 16Gb ;;huawei Mediapad T3 7 0 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 7 0 16Gb 3G ;;huawei Mediapad T3 7 0 16Gb 3G ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 7 Kids 8Gb WiFi ;;huawei Mediapad T3 7 Kids 8Gb WiFi ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 8 0 16Gb ;;huawei Mediapad T3 8 0 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;Mediapad;T3 8 0 16Gb LTE ;;huawei Mediapad T3 8 0 16Gb LTE ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;X2 16Gb ;;huawei MediaPad X2 16Gb ;;;;;;;;;;;;;;;
планшет;huawei;MediaPad;X2 32Gb ;;huawei MediaPad X2 32Gb ;;;;;;;;;;;;;;;
телефон;Huawei;Ascend;Y541 ;;Huawei Ascend Y541 ;;;;;;;;;;;;;;;
телефон;Huawei;Ascend;Y5C ;;Huawei Ascend Y5C ;;;;;;;;;;;;;;;
ноутбук;Lenovo;y70;70;;Lenovo y70 70;;;;;;;;;;;;;;;
ноутбук;Lenovo;g780;59343359;;Lenovo g780 59343359;;;;;;;;;;;;;;;
ноутбук;Lenovo;ideapad;100 15 ;;Lenovo ideapad 100 15 ;;;;;;;;;;;;;;;
телефон;Lenovo;Phab;2 Pro ;;Lenovo Phab 2 Pro ;;;;;;;;;;;;;;;
телефон;Lenovo;P780;4GB ;;Lenovo P780 4GB ;;;;;;;;;;;;;;;
телефон;Lenovo;S820;4GB ;;Lenovo S820 4GB ;;;;;;;;;;;;;;;
ноутбук;Lenovo;yoga;500 14 ;;Lenovo yoga 500 14 ;;;;;;;;;;;;;;;
ноутбук;Lenovo;yoga;500 15 ;;Lenovo yoga 500 15 ;;;;;;;;;;;;;;;
ноутбук;Lenovo;ideapad;520 15 ;;Lenovo ideapad 520 15 ;;;;;;;;;;;;;;;
телефон;Lenovo;P780;8Gb ;;Lenovo P780 8Gb ;;;;;;;;;;;;;;;
ноутбук;Lenovo;thinkpad;edge e470 ;;Lenovo thinkpad edge e470 ;;;;;;;;;;;;;;;
ноутбук;Lenovo;thinkpad;edge e550 ;;Lenovo thinkpad edge e550 ;;;;;;;;;;;;;;;
ноутбук;Lenovo;ideapad;flex 10 ;;Lenovo ideapad flex 10 ;;;;;;;;;;;;;;;
ноутбук;Lenovo;ideapad;flex 2 15 ;;Lenovo ideapad flex 2 15 ;;;;;;;;;;;;;;;
ноутбук;Lenovo;ideapad;flex 2 15d ;;Lenovo ideapad flex 2 15d ;;;;;;;;;;;;;;;
ноутбук;Lenovo;ideapad;g580 ;;Lenovo ideapad g580 ;;;;;;;;;;;;;;;
телефон;Lenovo;K3;Music Lemon ;;Lenovo K3 Music Lemon ;;;;;;;;;;;;;;;
телефон;Lenovo;K6;Note ;1;Lenovo K6 Note ;;;;;;;;;;;;;;;
телефон;Lenovo;K5;Note ;1;Lenovo K5 Note ;;;;;;;;;;;;;;;
телефон;Lenovo;Ideaphone;P770 ;;Lenovo Ideaphone P770 ;;;;;;;;;;;;;;;
телефон;Lenovo;A6010;Plus ;;Lenovo A6010 Plus ;;;;;;;;;;;;;;;
телефон;Lenovo;K6;Power ;1;Lenovo K6 Power ;;;;;;;;;;;;;;;
телефон;Lenovo;K6;Power 16Gb ;;Lenovo K6 Power 16Gb ;;;;;;;;;;;;;;;
телефон;Lenovo;IdeaPhone;S720 ;;Lenovo IdeaPhone S720 ;;;;;;;;;;;;;;;
телефон;Lenovo;Sisley;S90 ;;Lenovo Sisley S90 ;;;;;;;;;;;;;;;
телефон;Lenovo;Sisley;Sisley;;Lenovo Sisley Sisley;;;;;;;;;;;;;;;
телефон;Lenovo;Vibe;X2 Pro ;;Lenovo Vibe X2 Pro ;;;;;;;;;;;;;;;
ноутбук;Lenovo;legion;y520 ;;Lenovo legion y520 ;;;;;;;;;;;;;;;
телефон;Lenovo;Vibe;Z K910 ;;Lenovo Vibe Z K910 ;;;;;;;;;;;;;;;
телефон;Lenovo;ZUK;Z2 ;1;Lenovo ZUK Z2 ;;;;;;;;;;;;;;;
телефон;Lenovo;Vibe;Z2 Pro ;1;Lenovo Vibe Z2 Pro ;;;;;;;;;;;;;;;
телефон;Meizu;Pro;7;1;Meizu Pro 7;;;;;;;;;;;;;;;
телефон;Meizu;U10;16Gb ;;Meizu U10 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M5c;16GB ;;Meizu M5c 16GB ;;;;;;;;;;;;;;;
телефон;Meizu;M3;16Gb ;;Meizu M3 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M3s;16GB ;;Meizu M3s 16GB ;;;;;;;;;;;;;;;
телефон;Meizu;M5;16Gb ;;Meizu M5 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M6;16Gb ;;Meizu M6 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M3;32Gb ;;Meizu M3 32Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M5;32Gb ;;Meizu M5 32Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M5c;32GB ;;Meizu M5c 32GB ;;;;;;;;;;;;;;;
телефон;Meizu;MX4;32Gb ;;Meizu MX4 32Gb ;;;;;;;;;;;;;;;
телефон;Meizu;MX5;32Gb ;;Meizu MX5 32Gb ;;;;;;;;;;;;;;;
телефон;Meizu;Pro;6 32Gb ;;Meizu Pro 6 32Gb ;;;;;;;;;;;;;;;
телефон;Meizu;Pro;6 Plus ;1;Meizu Pro 6 Plus ;;;;;;;;;;;;;;;
телефон;Meizu;MX2;64Gb ;;Meizu MX2 64Gb ;;;;;;;;;;;;;;;
телефон;Meizu;Pro;6s ;;Meizu Pro 6s ;;;;;;;;;;;;;;;
телефон;Meizu;Pro;7 64GB ;;Meizu Pro 7 64GB ;;;;;;;;;;;;;;;
телефон;Meizu;Pro;7 Plus ;1;Meizu Pro 7 Plus ;;;;;;;;;;;;;;;
телефон;Meizu;M2;mini ;1;Meizu M2 mini ;;;;;;;;;;;;;;;
телефон;Meizu;M3s;mini 16Gb ;;Meizu M3s mini 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M5;Note ;1;Meizu M5 Note ;;;;;;;;;;;;;;;
телефон;Meizu;M6;Note ;1;Meizu M6 Note ;;;;;;;;;;;;;;;
телефон;Meizu;M2;Note 16Gb ;;Meizu M2 Note 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M3;Note 16Gb ;;Meizu M3 Note 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M5;Note 16Gb ;;Meizu M5 Note 16Gb ;;;;;;;;;;;;;;;
телефон;Meizu;M3;Note 32Gb ;;Meizu M3 Note 32Gb ;;;;;;;;;;;;;;;
телефон;Meizu;MX4;Pro 32Gb ;;Meizu MX4 Pro 32Gb ;;;;;;;;;;;;;;;
планшет;Samsung;Nexus;10 16Gb ;;Samsung Nexus 10 16Gb ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;525 GT S5250 ;;Samsung Wave 525 GT S5250 ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;525 La Fleur S5250 ;;Samsung Wave 525 La Fleur S5250 ;;;;;;;;;;;;;;;
телефон;Samsung;Wave;525 S5250 ;;Samsung Wave 525 S5250 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A3 2016 ;1;Samsung Galaxy A3 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A3 2016 SM A310F DS ;;Samsung Galaxy A3 2016 SM A310F DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A3 2017 ;1;Samsung Galaxy A3 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A3 2017 SM A320F ;;Samsung Galaxy A3 2017 SM A320F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A3 SM A300F ;1;Samsung Galaxy A3 SM A300F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A5 2016 ;1;Samsung Galaxy A5 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A5 2016 SM A510F ;;Samsung Galaxy A5 2016 SM A510F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A5 2017 ;1;Samsung Galaxy A5 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A5 2017 SM A520F ;1;Samsung Galaxy A5 2017 SM A520F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A5 Duos ;;Samsung Galaxy A5 Duos ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A5 SM A500F ;1;Samsung Galaxy A5 SM A500F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A7 2016 ;1;Samsung Galaxy A7 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A7 2017 ;1;Samsung Galaxy A7 2017 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A7 2017 SM A720F ;;Samsung Galaxy A7 2017 SM A720F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A7 Duos ;;Samsung Galaxy A7 Duos ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A7 SM A700F ;;Samsung Galaxy A7 SM A700F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A8 2018 ;;Samsung Galaxy A8 2018 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A9 2016 ;;Samsung Galaxy A9 2016 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A9 Pro ;1;Samsung Galaxy A9 Pro ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;A9 Pro SM A910F DS ;;Samsung Galaxy A9 Pro SM A910F DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace 2 i8160 ;;Samsung Galaxy Ace 2 i8160 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace 3 GT S7270 ;;Samsung Galaxy Ace 3 GT S7270 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace 3 S7270 ;;Samsung Galaxy Ace 3 S7270 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace 4 Lite SM G313H ;;Samsung Galaxy Ace 4 Lite SM G313H ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace Duos GT S6802 ;;Samsung Galaxy Ace Duos GT S6802 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace GT S5830 ;;Samsung Galaxy Ace GT S5830 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace Plus GT S7500 ;;Samsung Galaxy Ace Plus GT S7500 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace Plus S7500 ;;Samsung Galaxy Ace Plus S7500 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace S5830 ;1;Samsung Galaxy Ace S5830 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace Style ;;Samsung Galaxy Ace Style ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace Style LTE SM G357FZ ;;Samsung Galaxy Ace Style LTE SM G357FZ ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Alpha SM G850F ;1;Samsung Galaxy Alpha SM G850F ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Alpha SM G850F 32GB ;;Samsung Galaxy Alpha SM G850F 32GB ;;;;;;;;;;;;;;;
телефон;Samsung;Giorgio;Armani I9010 ;;Samsung Giorgio Armani I9010 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Axiom R830 ;;Samsung Galaxy Axiom R830 ;;;;;;;;;;;;;;;
телефон;Samsung;GT;B7722 ;;Samsung GT B7722 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;C260 ;;Samsung SGH C260 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;C5 ;;Samsung Galaxy C5 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;C5 Pro ;;Samsung Galaxy C5 Pro ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;C7 ;;Samsung Galaxy C7 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;C7 32GB ;;Samsung Galaxy C7 32GB ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;C7 Pro ;;Samsung Galaxy C7 Pro ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;C9 Pro ;;Samsung Galaxy C9 Pro ;;;;;;;;;;;;;;;
телефон;Samsung;S3650;Corby ;;Samsung S3650 Corby ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core 2 Duos SM G355H DS ;;Samsung Galaxy Core 2 Duos SM G355H DS ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core 2 SM G355H ;1;Samsung Galaxy Core 2 SM G355H ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core Advance GT I8580 ;;Samsung Galaxy Core Advance GT I8580 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core Advance I8580 ;;Samsung Galaxy Core Advance I8580 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core GT I8262 ;1;Samsung Galaxy Core GT I8262 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core I8260 ;;Samsung Galaxy Core I8260 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core I8262 ;1;Samsung Galaxy Core I8262 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core II ;;Samsung Galaxy Core II ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core Prime SM G360H ;;Samsung Galaxy Core Prime SM G360H ;;;;;;;;;;;;;;;
телефон;Samsung;B5722;Duos ;;Samsung B5722 Duos ;;;;;;;;;;;;;;;
телефон;Samsung;D980;Duos ;;Samsung D980 Duos ;;;;;;;;;;;;;;;
телефон;Samsung;GT;E1200R ;;Samsung GT E1200R ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;E200 ;;Samsung SGH E200 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;E210 ;;Samsung SGH E210 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;E490 ;;Samsung SGH E490 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;E5 SM E500H DS ;;Samsung Galaxy E5 SM E500H DS ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;E570 ;;Samsung SGH E570 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;E700 ;;Samsung SGH E700 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;E840 ;;Samsung SGH E840 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Express ;;Samsung Galaxy Express ;;;;;;;;;;;;;;;
телефон;Samsung;SM;G355H Galaxy Core 2 ;1;Samsung SM G355H Galaxy Core 2 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;G600 ;;Samsung SGH G600 ;;;;;;;;;;;;;;;
телефон;Samsung;SGH;G800 ;;Samsung SGH G800 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace S5830;;Samsung Galaxy Ace S5830;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace 3 S7270;;Samsung Galaxy Ace 3 S7270;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Ace Duos S6802;;Samsung Galaxy Ace Duos S6802;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Beam i8530;;Samsung Galaxy Beam i8530;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Core I8262;1;Samsung Galaxy Core I8262;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand Duos I9082;1;Samsung Galaxy Grand Duos I9082;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Mega 5 8 I9152;;Samsung Galaxy Mega 5 8 I9152;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Note II N7100;1;Samsung Galaxy Note II N7100;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Pocket Duos S5302;;Samsung Galaxy Pocket Duos S5302;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Premier I9260;;Samsung Galaxy Premier I9260;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S I9000;;Samsung Galaxy S I9000;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Duos S7562;1;Samsung Galaxy S Duos S7562;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S Plus I9001;;Samsung Galaxy S Plus I9001;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S3 Mini I8190;1;Samsung Galaxy S3 Mini I8190;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S3 Neo I9301I;;Samsung Galaxy S3 Neo I9301I;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;S3 Neo I9300I;;Samsung Galaxy S3 Neo I9300I;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;SL I9003;;Samsung Galaxy SL I9003;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Star Plus S7262;1;Samsung Galaxy Star Plus S7262;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Trend S7390;;Samsung Galaxy Trend S7390;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Xcover S5690;;Samsung Galaxy Xcover S5690;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Y S5360;;Samsung Galaxy Y S5360;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Gio GT S5660 ;;Samsung Galaxy Gio GT S5660 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Gio S5660 ;;Samsung Galaxy Gio S5660 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Golden GT I9235 ;;Samsung Galaxy Golden GT I9235 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand 2 SM G710 ;;Samsung Galaxy Grand 2 SM G710 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand 2 SM G7102 ;1;Samsung Galaxy Grand 2 SM G7102 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand 2 SM G7105 ;;Samsung Galaxy Grand 2 SM G7105 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand Duos GT I9082 ;;Samsung Galaxy Grand Duos GT I9082 ;;;;;;;;;;;;;;;
телефон;Samsung;Galaxy;Grand GT I9082 ;;Samsung Galaxy Grand GT I9082 ;;;;;;;;;;;;;;;
